,Gemeinde,partei_c,Name
1,Adlikon,parteilos,4
3,Adliswil,FDP,2
9,Aesch (ZH),SVP,2
11,Aeugst am Albis,FDP,3
15,Affoltern am Albis,SP,2
19,Altikon,parteilos,4
22,Andelfingen,parteilos,3
25,Bachenbülach,FDP,3
28,Bachs,parteilos,4
32,Bassersdorf,parteilos,3
35,Bauma,parteilos,4
37,Benken (ZH),parteilos,4
38,Berg am Irchel,parteilos,5
40,Birmensdorf (ZH),FDP,2
45,Bonstetten,parteilos,3
47,Boppelsen,SVP,3
49,Brütten,FDP,3
54,Bubikon,FDP,3
57,Buch am Irchel,parteilos,4
58,Buchs (ZH),parteilos,5
61,Bäretswil,SVP,4
64,Bülach,FDP,2
69,Dachsen,parteilos,4
72,Dielsdorf,parteilos,4
73,Dietikon,CVP,2
79,Dietlikon,FDP,1
84,Dinhard,SVP,4
86,Dorf,parteilos,5
88,Dägerlen,parteilos,4
90,Dällikon,SVP,3
92,Dänikon,SVP,2
95,Dättlikon,parteilos,6
99,Dübendorf,SVP,2
104,Dürnten,parteilos,2
106,Egg,FDP,3
110,Eglisau,parteilos,3
113,Elgg,SVP,3
116,Ellikon an der Thur,parteilos,5
117,Elsau,FDP,3
121,Embrach,CVP,2
126,Erlenbach (ZH),FDP,3
128,Fehraltorf,FDP,2
134,Feuerthalen,SVP,3
137,Fischenthal,parteilos,6
139,Flaach,verschiedene,4
140,Flurlingen,parteilos,5
142,Freienstein-Teufen,verschiedene,3
146,Fällanden,parteilos,3
147,Geroldswil,FDP,3
150,Glattfelden,FDP,2
156,Gossau (ZH),SVP,2
162,Greifensee,verschiedene,3
163,Grüningen,FDP,3
167,Hagenbuch,SVP,4
171,Hausen am Albis,SVP,2
173,Hedingen,FDP,3
178,Henggart,parteilos,2
179,Herrliberg,FDP,3
182,Hettlingen,FDP,3
185,Hinwil,FDP,3
188,Hittnau,FDP,2
192,Hochfelden,SVP,2
195,Hombrechtikon,FDP,4
199,Horgen,CVP,2
206,Humlikon,parteilos,4
208,Höri,parteilos,3
209,Hüntwangen,SVP,3
212,Hüttikon,parteilos,3
213,Illnau-Effretikon,FDP,3
216,Kappel am Albis,parteilos,5
217,Kilchberg (ZH),FDP,3
221,Kleinandelfingen,SVP,2
228,Kloten,SVP,2
229,Knonau,parteilos,6
230,Küsnacht (ZH),FDP,4
235,Langnau am Albis,FDP,2
241,Laufen-Uhwiesen,parteilos,4
244,Lindau,SVP,3
246,Lufingen,parteilos,3
248,Marthalen,parteilos,4
249,Maschwanden,parteilos,5
251,Maur,FDP,3
254,Meilen,FDP,5
259,Mettmenstetten,parteilos,6
261,Männedorf,FDP,3
265,Mönchaltorf,FDP,3
270,Neerach,parteilos,4
274,Neftenbach,verschiedene,3
277,Niederglatt,SVP,3
280,Niederhasli,FDP,2
283,Niederweningen,parteilos,5
284,Nürensdorf,FDP,3
289,Oberembrach,parteilos,2
292,Oberengstringen,SVP,3
297,Oberglatt,parteilos,5
298,Oberrieden,FDP,3
303,Oberweningen,parteilos,4
304,Obfelden,parteilos,7
307,Oetwil am See,parteilos,5
309,Oetwil an der Limmat,FDP,2
313,Opfikon,FDP,2
319,Ossingen,SVP,2
322,Otelfingen,SVP,2
327,Ottenbach,parteilos,3
329,Pfungen,verschiedene,6
330,Pfäffikon,EVP,2
337,Rafz,verschiedene,2
338,Regensberg,parteilos,5
339,Regensdorf,CVP,2
345,Rheinau,SP,2
350,Richterswil,FDP,3
355,Rickenbach (ZH),parteilos,3
356,Rifferswil,parteilos,7
359,Rorbas,SVP,2
362,Russikon,SVP,3
367,Rümlang,SVP,3
369,Rüschlikon,FDP,3
371,Rüti (ZH),CVP,2
377,Schlatt (ZH),parteilos,5
378,Schleinikon,parteilos,5
381,Schlieren,SP,2
387,Schwerzenbach,parteilos,4
388,Schöfflisdorf,parteilos,5
391,Seegräben,parteilos,3
394,Seuzach,FDP,3
399,Stadel,parteilos,5
401,Stallikon,FDP,2
406,Stammheim,parteilos,3
409,Steinmaur,parteilos,3
411,Stäfa,FDP,4
415,Thalheim an der Thur,parteilos,5
417,Thalwil,FDP,3
421,Truttikon,parteilos,5
424,Trüllikon,parteilos,3
425,Turbenthal,FDP,3
428,Uetikon am See,FDP,3
432,Uitikon,FDP,3
435,Unterengstringen,FDP,3
440,Urdorf,FDP,2
446,Uster,SP,3
449,Volken,parteilos,4
451,Volketswil,FDP,2
457,Wald (ZH),SVP,3
462,Wallisellen,SVP,2
465,Wangen-Brüttisellen,FDP,3
468,Wasterkingen,parteilos,5
469,Weiach,parteilos,5
471,Weiningen (ZH),SVP,3
476,Weisslingen,verschiedene,3
478,Wettswil am Albis,parteilos,3
481,Wetzikon (ZH),FDP,2
486,Wiesendangen,FDP,2
489,Wil (ZH),SVP,2
495,Wila,parteilos,2
497,Wildberg,parteilos,4
499,Winkel,SVP,4
503,Winterthur,SP,3
504,Wädenswil,CVP,2
510,Zell (ZH),FDP,2
513,Zollikon,FDP,4
516,Zumikon,FDP,4
522,Zürich,SP,3
